week_end,ALBFR.PA,ALBFR.PA_price_date,BL,BL_price_date,BILL,BILL_price_date,NCNO,NCNO_price_date,WK,WK_price_date,^FCHI,^FCHI_price_date,^GSPC,^GSPC_price_date,^IXIC,^IXIC_price_date,^STOXX,^STOXX_price_date
2025-03-07,258,2025-03-07,48.880001068115234,2025-03-07,47.2400016784668,2025-03-07,30.530000686645508,2025-03-07,85.87000274658203,2025-03-07,8120.7998046875,2025-03-07,5770.2001953125,2025-03-07,18196.220703125,2025-03-07,553.3499755859375,2025-03-07
2025-03-14,255,2025-03-14,49.88999938964844,2025-03-14,46.41999816894531,2025-03-14,28.34000015258789,2025-03-14,87.54000091552734,2025-03-14,8028.27978515625,2025-03-14,5638.93994140625,2025-03-14,17754.08984375,2025-03-14,546.5999755859375,2025-03-14
2025-03-21,246,2025-03-21,50.290000915527344,2025-03-21,47.91999816894531,2025-03-21,28.5,2025-03-21,87.2300033569336,2025-03-21,8042.9501953125,2025-03-21,5667.56005859375,2025-03-21,17784.05078125,2025-03-21,549.6699829101562,2025-03-21
2025-03-28,242,2025-03-28,48.810001373291016,2025-03-28,46.25,2025-03-28,28.920000076293945,2025-03-28,78.7300033569336,2025-03-28,7916.080078125,2025-03-28,5580.93994140625,2025-03-28,17322.990234375,2025-03-28,542.0999755859375,2025-03-28
2025-04-04,227,2025-04-04,44.099998474121094,2025-04-04,39.540000915527344,2025-04-04,21.450000762939453,2025-04-04,67.56999969482422,2025-04-04,7274.9501953125,2025-04-04,5074.080078125,2025-04-04,15587.7900390625,2025-04-04,496.3299865722656,2025-04-04
2025-04-11,236.10000610351562,2025-04-11,45.59000015258789,2025-04-11,41.58000183105469,2025-04-11,23.860000610351562,2025-04-11,66.41000366210938,2025-04-11,7104.7998046875,2025-04-11,5363.35986328125,2025-04-11,16724.4609375,2025-04-11,486.79998779296875,2025-04-11
2025-04-18,213,2025-04-17,44.439998626708984,2025-04-17,40.61000061035156,2025-04-17,23.950000762939453,2025-04-17,67.62999725341797,2025-04-17,7285.85986328125,2025-04-17,5282.7001953125,2025-04-17,16286.4501953125,2025-04-17,506.4200134277344,2025-04-17
2025-04-25,225,2025-04-25,47.220001220703125,2025-04-25,45.22999954223633,2025-04-25,23.040000915527344,2025-04-25,73.62000274658203,2025-04-25,7536.259765625,2025-04-25,5525.2099609375,2025-04-25,17382.939453125,2025-04-25,520.4500122070312,2025-04-25
2025-05-02,228,2025-05-02,47.27000045776367,2025-05-02,45.29999923706055,2025-05-02,22.959999084472656,2025-05-02,67.41000366210938,2025-05-02,7770.47998046875,2025-05-02,5686.669921875,2025-05-02,17977.73046875,2025-05-02,536.4299926757812,2025-05-02
2025-05-09,242.35000610351562,2025-05-09,53.22999954223633,2025-05-09,44.720001220703125,2025-05-09,24.030000686645508,2025-05-09,67.56999969482422,2025-05-09,7743.75,2025-05-09,5659.91015625,2025-05-09,17928.919921875,2025-05-09,537.9600219726562,2025-05-09
2025-05-16,264,2025-05-16,55.540000915527344,2025-05-16,46.2599983215332,2025-05-16,24.600000381469727,2025-05-16,71.45999908447266,2025-05-16,7886.68994140625,2025-05-16,5958.3798828125,2025-05-16,19211.099609375,2025-05-16,549.260009765625,2025-05-16
2025-05-23,258,2025-05-23,54.15999984741211,2025-05-23,44.400001525878906,2025-05-23,26.260000228881836,2025-05-23,67.16000366210938,2025-05-23,7734.39990234375,2025-05-23,5802.81982421875,2025-05-23,18737.2109375,2025-05-23,545.1300048828125,2025-05-23
2025-05-30,254,2025-05-30,55.93000030517578,2025-05-30,43.68000030517578,2025-05-30,26.299999237060547,2025-05-30,67.29000091552734,2025-05-30,7751.89013671875,2025-05-30,5911.68994140625,2025-05-30,19113.76953125,2025-05-30,548.6699829101562,2025-05-30
2025-06-06,279,2025-06-06,57.349998474121094,2025-06-06,45.619998931884766,2025-06-06,27.31999969482422,2025-06-06,69.20999908447266,2025-06-06,7804.8701171875,2025-06-06,6000.35986328125,2025-06-06,19529.94921875,2025-06-06,553.6400146484375,2025-06-06
2025-06-13,263,2025-06-13,54.060001373291016,2025-06-13,41.400001525878906,2025-06-13,26.989999771118164,2025-06-13,65.7300033569336,2025-06-13,7684.68017578125,2025-06-13,5976.97021484375,2025-06-13,19406.830078125,2025-06-13,544.9400024414062,2025-06-13
2025-06-20,267,2025-06-20,54.779998779296875,2025-06-20,43.70000076293945,2025-06-20,26.450000762939453,2025-06-20,65.4000015258789,2025-06-20,7589.66015625,2025-06-20,5967.83984375,2025-06-20,19447.41015625,2025-06-20,536.530029296875,2025-06-20
2025-06-27,255,2025-06-27,56.63999938964844,2025-06-27,45.56999969482422,2025-06-27,27.65999984741211,2025-06-27,65.81999969482422,2025-06-27,7691.5498046875,2025-06-27,6173.06982421875,2025-06-27,20273.4609375,2025-06-27,543.6300048828125,2025-06-27
2025-07-04,249,2025-07-04,57.810001373291016,2025-07-03,48.209999084472656,2025-07-03,28.700000762939453,2025-07-03,69.22000122070312,2025-07-03,7696.27001953125,2025-07-04,6279.35009765625,2025-07-03,20601.099609375,2025-07-03,541.1300048828125,2025-07-04
2025-07-11,242,2025-07-11,53.650001525878906,2025-07-11,44.72999954223633,2025-07-11,28.81999969482422,2025-07-11,67.13999938964844,2025-07-11,7829.2900390625,2025-07-11,6259.75,2025-07-11,20585.529296875,2025-07-11,547.3400268554688,2025-07-11
2025-07-18,229,2025-07-18,56.560001373291016,2025-07-18,45.86000061035156,2025-07-18,30.610000610351562,2025-07-18,66.51000213623047,2025-07-18,7822.669921875,2025-07-18,6296.7900390625,2025-07-18,20895.650390625,2025-07-18,547,2025-07-18
2025-07-25,229,2025-07-25,56,2025-07-25,45.91999816894531,2025-07-25,30.799999237060547,2025-07-25,67.98999786376953,2025-07-25,7834.580078125,2025-07-25,6388.64013671875,2025-07-25,21108.3203125,2025-07-25,549.9500122070312,2025-07-25
2025-08-01,218,2025-08-01,52.93000030517578,2025-08-01,41.72999954223633,2025-08-01,27.149999618530273,2025-08-01,84.30000305175781,2025-08-01,7546.16015625,2025-08-01,6238.009765625,2025-08-01,20650.130859375,2025-08-01,546.1099853515625,2025-07-31
2025-08-08,212,2025-08-08,48.349998474121094,2025-08-08,40.7400016784668,2025-08-08,26.190000534057617,2025-08-08,73.55999755859375,2025-08-08,7743,2025-08-08,6389.4501953125,2025-08-08,21450.01953125,2025-08-08,547.0800170898438,2025-08-08
2025-08-15,208,2025-08-15,50.83000183105469,2025-08-15,40.439998626708984,2025-08-15,27.75,2025-08-15,74.75,2025-08-15,7923.4501953125,2025-08-15,6449.7998046875,2025-08-15,21622.98046875,2025-08-15,553.5599975585938,2025-08-15
2025-08-22,213,2025-08-22,53.97999954223633,2025-08-22,42.290000915527344,2025-08-22,29.079999923706055,2025-08-22,79.9800033569336,2025-08-22,7969.68994140625,2025-08-22,6466.91015625,2025-08-22,21496.5390625,2025-08-22,561.2999877929688,2025-08-22
2025-08-29,226,2025-08-29,54.369998931884766,2025-08-29,46.41999816894531,2025-08-29,32.11000061035156,2025-08-29,82.23999786376953,2025-08-29,7703.89990234375,2025-08-29,6460.259765625,2025-08-29,21455.55078125,2025-08-29,550.1400146484375,2025-08-29
2025-09-05,205,2025-09-05,53.61000061035156,2025-09-05,51.540000915527344,2025-09-05,30.399999618530273,2025-09-05,79.93000030517578,2025-09-05,7674.77978515625,2025-09-05,6481.5,2025-09-05,21700.390625,2025-09-05,549.2100219726562,2025-09-05
2025-09-12,206,2025-09-12,54.290000915527344,2025-09-12,51.06999969482422,2025-09-12,30.09000015258789,2025-09-12,77.4800033569336,2025-09-12,7825.240234375,2025-09-12,6584.2900390625,2025-09-12,22141.099609375,2025-09-12,554.8400268554688,2025-09-12
