date,open,high,low,close,adj_close,volume
2026-03-26,146,146,137,142.5,142.5,2995
2026-03-27,143,143,129,133,133,6471
2026-03-30,131.5,142.5,130,142.5,142.5,2967
2026-03-31,148,161.5,146,161.5,161.5,12386
2026-04-01,164,166,151.5,154.5,154.5,10488
2026-04-02,153.5,154,147,151,151,5693
2026-04-07,151.8000030517578,156.39999389648438,149.1999969482422,155,155,4463
2026-04-08,156.60000610351562,161.1999969482422,153,160.1999969482422,160.1999969482422,7745
2026-04-09,161.1999969482422,166.39999389648438,160.1999969482422,164,164,11065
2026-04-10,164.1999969482422,165.8000030517578,160.8000030517578,161,161,3618
2026-04-13,160.39999389648438,162.8000030517578,156.1999969482422,158.60000610351562,158.60000610351562,3553
2026-04-14,159.39999389648438,159.39999389648438,153,156.39999389648438,156.39999389648438,2726
2026-04-15,162.39999389648438,168.39999389648438,154.60000610351562,154.60000610351562,154.60000610351562,10673
2026-04-16,154.1999969482422,158.8000030517578,151.60000610351562,156.8000030517578,156.8000030517578,7214
2026-04-17,157.39999389648438,159.39999389648438,152.1999969482422,154,154,2489
2026-04-20,158,166.39999389648438,158,163,163,12189
2026-04-21,165.8000030517578,167,160.1999969482422,163.8000030517578,163.8000030517578,4518
2026-04-22,164.39999389648438,167.60000610351562,164,165.8000030517578,165.8000030517578,4991
2026-04-23,166.1999969482422,167.60000610351562,163,167.39999389648438,167.39999389648438,6399
2026-04-24,167.39999389648438,168.8000030517578,165.60000610351562,168.8000030517578,168.8000030517578,8471
2026-04-27,168.60000610351562,177.39999389648438,168.60000610351562,174.1999969482422,174.1999969482422,2968
2026-04-28,175,175,168.1999969482422,170,170,1751
2026-04-29,170,174.8000030517578,169.1999969482422,171,171,2208
2026-04-30,173.60000610351562,173.60000610351562,160.39999389648438,169,169,3733
2026-05-04,170,174,169.60000610351562,169.60000610351562,169.60000610351562,2675
2026-05-05,169.60000610351562,170.60000610351562,167.1999969482422,167.60000610351562,167.60000610351562,1582
2026-05-06,167.60000610351562,169.8000030517578,164.60000610351562,165,165,2207
2026-05-07,165,165,155.1999969482422,160.60000610351562,160.60000610351562,3956
2026-05-08,159.1999969482422,161.8000030517578,153,160.8000030517578,160.8000030517578,4354
2026-05-11,160,160.60000610351562,156.1999969482422,160,160,1362
2026-05-12,158.1999969482422,161.1999969482422,155,161.1999969482422,161.1999969482422,1407
2026-05-13,161.8000030517578,164.39999389648438,160,162.1999969482422,162.1999969482422,1869
2026-05-14,163,166.60000610351562,162.60000610351562,164.8000030517578,164.8000030517578,921
2026-05-15,165.8000030517578,165.8000030517578,162.1999969482422,165,165,1119
2026-05-18,164.60000610351562,170,158,166.1999969482422,166.1999969482422,5767
2026-05-19,166.1999969482422,170.8000030517578,165.60000610351562,167.1999969482422,167.1999969482422,4779
2026-05-20,167.8000030517578,172,165.60000610351562,172,172,2784
2026-05-21,172,172.8000030517578,167.60000610351562,170.60000610351562,170.60000610351562,2610
2026-05-22,171.60000610351562,174.39999389648438,166,171.39999389648438,171.39999389648438,3980
2026-05-25,170.8000030517578,173.60000610351562,170.8000030517578,173.60000610351562,173.60000610351562,1148
2026-05-26,174.1999969482422,174.1999969482422,169,170.1999969482422,170.1999969482422,1504
2026-05-27,171,171,165,165.8000030517578,165.8000030517578,891
2026-05-28,165.1999969482422,167,163.1999969482422,166,166,1817
2026-05-29,167,168.1999969482422,163.1999969482422,167.8000030517578,167.8000030517578,1178
2026-06-01,168.39999389648438,173.60000610351562,168.39999389648438,171.8000030517578,171.8000030517578,2064
2026-06-02,172.60000610351562,175.8000030517578,168,172,172,2648
2026-06-03,172,175.8000030517578,170.39999389648438,171.39999389648438,171.39999389648438,2070
2026-06-04,171.1999969482422,179,170.39999389648438,178,178,2428
2026-06-05,178.39999389648438,181.1999969482422,172,172,172,1804
2026-06-08,171.60000610351562,174.39999389648438,171.1999969482422,173.39999389648438,173.39999389648438,1304
2026-06-09,174.60000610351562,174.60000610351562,171.39999389648438,173.1999969482422,173.1999969482422,1352
2026-06-10,171.60000610351562,172.8000030517578,161,167.8000030517578,167.8000030517578,2730
2026-06-11,167.39999389648438,167.39999389648438,165,165,165,707
2026-06-12,165.39999389648438,166.60000610351562,165.1999969482422,165.1999969482422,165.1999969482422,551
2026-06-15,164.8000030517578,171.8000030517578,164.8000030517578,169.60000610351562,169.60000610351562,1403
2026-06-16,169.39999389648438,173.60000610351562,165.39999389648438,167.8000030517578,167.8000030517578,2497
2026-06-17,167.60000610351562,167.60000610351562,165,166.39999389648438,166.39999389648438,445
2026-06-18,165,165.8000030517578,148.60000610351562,155,155,4214
2026-06-19,154,161.39999389648438,152.60000610351562,160,160,1539
2026-06-22,164.60000610351562,164.60000610351562,155.39999389648438,157,157,1858
2026-06-23,156.39999389648438,163.8000030517578,156,162.60000610351562,162.60000610351562,1405
2026-06-24,162.60000610351562,164,159.8000030517578,164,164,831
2026-06-25,163.8000030517578,166.39999389648438,163.8000030517578,166.39999389648438,166.39999389648438,1253
2026-06-26,166.39999389648438,173,165,173,173,983
2026-06-29,173.1999969482422,173.1999969482422,167,169.1999969482422,169.1999969482422,1402
2026-06-30,169.39999389648438,175.8000030517578,168.1999969482422,174.39999389648438,174.39999389648438,1340
2026-07-01,173.8000030517578,181,171,177.39999389648438,177.39999389648438,3572
2026-07-02,176.8000030517578,182,176.8000030517578,180.39999389648438,180.39999389648438,1842
2026-07-03,180.60000610351562,183.39999389648438,178.39999389648438,179.1999969482422,179.1999969482422,2628
2026-07-06,179,179.39999389648438,175.8000030517578,177,177,1267
2026-07-07,177,177,170.39999389648438,171,171,1027
2026-07-08,171.60000610351562,177.60000610351562,171.60000610351562,177.1999969482422,177.1999969482422,1194
2026-07-09,177.39999389648438,177.39999389648438,168,176,176,1505
2026-07-10,175.8000030517578,177.39999389648438,174.60000610351562,175.1999969482422,175.1999969482422,607
2026-07-13,175,175,172.39999389648438,173.39999389648438,173.39999389648438,546
2026-07-14,173.60000610351562,175.1999969482422,170,174.60000610351562,174.60000610351562,1148
2026-07-15,174.60000610351562,177.1999969482422,173,176.39999389648438,176.39999389648438,1130
